# of lines read,Execution time w/o tests,Execution time w/ tests
100,0.0001289999927394092,0.0006705999840050936
1100,0.00015809998149052262,0.0071622999967075884
2100,0.00023740000324323773,0.013815499987686053
3100,0.00031740000122226775,0.020668800018029287
4100,0.0003496000135783106,0.026793700002599508
5100,0.0004650999908335507,0.03345010001794435
6100,0.0005134999810252339,0.04000300000188872
7100,0.0005979999841656536,0.04688969999551773
8100,0.0006385000015143305,0.05377240001689643
9100,0.0006893000099807978,0.05963119998341426
