# of lines read,Execution time w/o tests,Execution time w/ tests
100,0.002097100019454956,0.0003255000337958336
1100,0.01750809990335256,0.0007071000291034579
2100,0.027238599956035614,0.0003988000098615885
3100,0.042439900105819106,0.0004075000761076808
4100,0.05595310009084642,0.00042990001384168863
5100,0.06810799997765571,0.0004216000670567155
6100,0.07755960000213236,0.00041530001908540726
7100,0.09109400003217161,0.0005455999635159969
8100,0.12970169994514436,0.0001802000915631652
9100,0.11930250003933907,0.0004572999896481633
